"","Expertos","Capitulos","Animes","Edad","Mujer","CantCaps","Scoremyanimelist","NEscenasCombate","NescenasEmocionantes","CalidadAnimacion","DuracionCapituloMin","RatingTV","Eleccion"
"1.1.1",1,1,1,42,1,575,8.15,1,6,7,37,5,0
"1.1.2",1,1,2,42,1,720,8.18,3,2,7,35,31,1
"1.1.3",1,1,3,42,1,148,9.07,14,3,8,57,36,0
"1.1.4",1,1,4,42,1,113,8.04,2,3,3,57,17,0
"1.2.1",1,2,1,42,1,575,8.15,8,0,2,50,30,0
"1.2.2",1,2,2,42,1,720,8.18,4,3,4,42,19,0
"1.2.3",1,2,3,42,1,148,9.07,2,5,3,46,35,1
"1.2.4",1,2,4,42,1,113,8.04,12,1,5,38,17,0
"1.3.1",1,3,1,42,1,575,8.15,10,5,3,54,34,1
"1.3.2",1,3,2,42,1,720,8.18,10,2,7,42,11,0
"1.3.3",1,3,3,42,1,148,9.07,8,4,9,46,6,0
"1.3.4",1,3,4,42,1,113,8.04,3,2,2,42,8,0
"1.4.1",1,4,1,42,1,575,8.15,14,4,2,43,22,0
"1.4.2",1,4,2,42,1,720,8.18,14,3,2,37,24,0
"1.4.3",1,4,3,42,1,148,9.07,10,2,8,43,37,1
"1.4.4",1,4,4,42,1,113,8.04,10,0,8,43,6,0
"1.5.1",1,5,1,42,1,575,8.15,7,6,4,49,8,0
"1.5.2",1,5,2,42,1,720,8.18,9,4,2,56,17,0
"1.5.3",1,5,3,42,1,148,9.07,14,4,5,30,27,0
"1.5.4",1,5,4,42,1,113,8.04,12,2,7,55,16,1
"1.6.1",1,6,1,42,1,575,8.15,3,4,4,34,22,1
"1.6.2",1,6,2,42,1,720,8.18,0,1,8,51,18,0
"1.6.3",1,6,3,42,1,148,9.07,12,1,7,35,15,0
"1.6.4",1,6,4,42,1,113,8.04,12,3,8,47,29,0
"1.7.1",1,7,1,42,1,575,8.15,5,6,4,32,34,1
"1.7.2",1,7,2,42,1,720,8.18,5,2,4,42,22,0
"1.7.3",1,7,3,42,1,148,9.07,2,3,1,34,6,0
"1.7.4",1,7,4,42,1,113,8.04,9,3,8,51,5,0
"1.8.1",1,8,1,42,1,575,8.15,4,6,4,54,6,0
"1.8.2",1,8,2,42,1,720,8.18,8,5,2,34,5,0
"1.8.3",1,8,3,42,1,148,9.07,10,2,5,57,38,0
"1.8.4",1,8,4,42,1,113,8.04,10,3,8,40,28,1
"1.9.1",1,9,1,42,1,575,8.15,6,5,5,37,14,0
"1.9.2",1,9,2,42,1,720,8.18,9,6,8,54,12,1
"1.9.3",1,9,3,42,1,148,9.07,5,6,6,32,18,0
"1.9.4",1,9,4,42,1,113,8.04,0,5,2,33,23,0
"1.10.1",1,10,1,42,1,575,8.15,5,2,4,41,26,1
"1.10.2",1,10,2,42,1,720,8.18,11,1,3,41,11,0
"1.10.3",1,10,3,42,1,148,9.07,5,1,3,40,18,0
"1.10.4",1,10,4,42,1,113,8.04,0,6,9,49,37,0
"1.11.1",1,11,1,42,1,575,8.15,2,3,4,36,13,0
"1.11.2",1,11,2,42,1,720,8.18,3,3,7,42,10,0
"1.11.3",1,11,3,42,1,148,9.07,10,6,3,57,33,1
"1.11.4",1,11,4,42,1,113,8.04,0,1,9,44,25,0
"1.12.1",1,12,1,42,1,575,8.15,11,5,5,37,7,0
"1.12.2",1,12,2,42,1,720,8.18,8,3,1,43,37,1
"1.12.3",1,12,3,42,1,148,9.07,11,0,7,59,5,0
"1.12.4",1,12,4,42,1,113,8.04,2,0,2,30,38,0
"2.1.1",2,1,1,41,1,575,8.15,1,6,7,37,5,0
"2.1.2",2,1,2,41,1,720,8.18,3,2,7,35,31,1
"2.1.3",2,1,3,41,1,148,9.07,14,3,8,57,36,0
"2.1.4",2,1,4,41,1,113,8.04,2,3,3,57,17,0
"2.2.1",2,2,1,41,1,575,8.15,8,0,2,50,30,0
"2.2.2",2,2,2,41,1,720,8.18,4,3,4,42,19,0
"2.2.3",2,2,3,41,1,148,9.07,2,5,3,46,35,1
"2.2.4",2,2,4,41,1,113,8.04,12,1,5,38,17,0
"2.3.1",2,3,1,41,1,575,8.15,10,5,3,54,34,1
"2.3.2",2,3,2,41,1,720,8.18,10,2,7,42,11,0
"2.3.3",2,3,3,41,1,148,9.07,8,4,9,46,6,0
"2.3.4",2,3,4,41,1,113,8.04,3,2,2,42,8,0
"2.4.1",2,4,1,41,1,575,8.15,14,4,2,43,22,0
"2.4.2",2,4,2,41,1,720,8.18,14,3,2,37,24,0
"2.4.3",2,4,3,41,1,148,9.07,10,2,8,43,37,1
"2.4.4",2,4,4,41,1,113,8.04,10,0,8,43,6,0
"2.5.1",2,5,1,41,1,575,8.15,7,6,4,49,8,0
"2.5.2",2,5,2,41,1,720,8.18,9,4,2,56,17,0
"2.5.3",2,5,3,41,1,148,9.07,14,4,5,30,27,0
"2.5.4",2,5,4,41,1,113,8.04,12,2,7,55,16,1
"2.6.1",2,6,1,41,1,575,8.15,3,4,4,34,22,1
"2.6.2",2,6,2,41,1,720,8.18,0,1,8,51,18,0
"2.6.3",2,6,3,41,1,148,9.07,12,1,7,35,15,0
"2.6.4",2,6,4,41,1,113,8.04,12,3,8,47,29,0
"2.7.1",2,7,1,41,1,575,8.15,5,6,4,32,34,1
"2.7.2",2,7,2,41,1,720,8.18,5,2,4,42,22,0
"2.7.3",2,7,3,41,1,148,9.07,2,3,1,34,6,0
"2.7.4",2,7,4,41,1,113,8.04,9,3,8,51,5,0
"2.8.1",2,8,1,41,1,575,8.15,4,6,4,54,6,0
"2.8.2",2,8,2,41,1,720,8.18,8,5,2,34,5,0
"2.8.3",2,8,3,41,1,148,9.07,10,2,5,57,38,0
"2.8.4",2,8,4,41,1,113,8.04,10,3,8,40,28,1
"2.9.1",2,9,1,41,1,575,8.15,6,5,5,37,14,0
"2.9.2",2,9,2,41,1,720,8.18,9,6,8,54,12,1
"2.9.3",2,9,3,41,1,148,9.07,5,6,6,32,18,0
"2.9.4",2,9,4,41,1,113,8.04,0,5,2,33,23,0
"2.10.1",2,10,1,41,1,575,8.15,5,2,4,41,26,1
"2.10.2",2,10,2,41,1,720,8.18,11,1,3,41,11,0
"2.10.3",2,10,3,41,1,148,9.07,5,1,3,40,18,0
"2.10.4",2,10,4,41,1,113,8.04,0,6,9,49,37,0
"2.11.1",2,11,1,41,1,575,8.15,2,3,4,36,13,0
"2.11.2",2,11,2,41,1,720,8.18,3,3,7,42,10,0
"2.11.3",2,11,3,41,1,148,9.07,10,6,3,57,33,1
"2.11.4",2,11,4,41,1,113,8.04,0,1,9,44,25,0
"2.12.1",2,12,1,41,1,575,8.15,11,5,5,37,7,0
"2.12.2",2,12,2,41,1,720,8.18,8,3,1,43,37,1
"2.12.3",2,12,3,41,1,148,9.07,11,0,7,59,5,0
"2.12.4",2,12,4,41,1,113,8.04,2,0,2,30,38,0
"3.1.1",3,1,1,41,1,575,8.15,1,6,7,37,5,0
"3.1.2",3,1,2,41,1,720,8.18,3,2,7,35,31,1
"3.1.3",3,1,3,41,1,148,9.07,14,3,8,57,36,0
"3.1.4",3,1,4,41,1,113,8.04,2,3,3,57,17,0
"3.2.1",3,2,1,41,1,575,8.15,8,0,2,50,30,0
"3.2.2",3,2,2,41,1,720,8.18,4,3,4,42,19,0
"3.2.3",3,2,3,41,1,148,9.07,2,5,3,46,35,1
"3.2.4",3,2,4,41,1,113,8.04,12,1,5,38,17,0
"3.3.1",3,3,1,41,1,575,8.15,10,5,3,54,34,1
"3.3.2",3,3,2,41,1,720,8.18,10,2,7,42,11,0
"3.3.3",3,3,3,41,1,148,9.07,8,4,9,46,6,0
"3.3.4",3,3,4,41,1,113,8.04,3,2,2,42,8,0
"3.4.1",3,4,1,41,1,575,8.15,14,4,2,43,22,0
"3.4.2",3,4,2,41,1,720,8.18,14,3,2,37,24,0
"3.4.3",3,4,3,41,1,148,9.07,10,2,8,43,37,1
"3.4.4",3,4,4,41,1,113,8.04,10,0,8,43,6,0
"3.5.1",3,5,1,41,1,575,8.15,7,6,4,49,8,0
"3.5.2",3,5,2,41,1,720,8.18,9,4,2,56,17,0
"3.5.3",3,5,3,41,1,148,9.07,14,4,5,30,27,0
"3.5.4",3,5,4,41,1,113,8.04,12,2,7,55,16,1
"3.6.1",3,6,1,41,1,575,8.15,3,4,4,34,22,1
"3.6.2",3,6,2,41,1,720,8.18,0,1,8,51,18,0
"3.6.3",3,6,3,41,1,148,9.07,12,1,7,35,15,0
"3.6.4",3,6,4,41,1,113,8.04,12,3,8,47,29,0
"3.7.1",3,7,1,41,1,575,8.15,5,6,4,32,34,1
"3.7.2",3,7,2,41,1,720,8.18,5,2,4,42,22,0
"3.7.3",3,7,3,41,1,148,9.07,2,3,1,34,6,0
"3.7.4",3,7,4,41,1,113,8.04,9,3,8,51,5,0
"3.8.1",3,8,1,41,1,575,8.15,4,6,4,54,6,0
"3.8.2",3,8,2,41,1,720,8.18,8,5,2,34,5,0
"3.8.3",3,8,3,41,1,148,9.07,10,2,5,57,38,0
"3.8.4",3,8,4,41,1,113,8.04,10,3,8,40,28,1
"3.9.1",3,9,1,41,1,575,8.15,6,5,5,37,14,0
"3.9.2",3,9,2,41,1,720,8.18,9,6,8,54,12,1
"3.9.3",3,9,3,41,1,148,9.07,5,6,6,32,18,0
"3.9.4",3,9,4,41,1,113,8.04,0,5,2,33,23,0
"3.10.1",3,10,1,41,1,575,8.15,5,2,4,41,26,1
"3.10.2",3,10,2,41,1,720,8.18,11,1,3,41,11,0
"3.10.3",3,10,3,41,1,148,9.07,5,1,3,40,18,0
