,Edad,Mujer,Combat.hunterX,Emotion.hunterX,Qual.hunterX,Duration.hunterX,Rating.hunterX,Combat.dragonball,Emotion.dragonball,Qual.dragonball,Duration.dragonball,Rating.dragonball,Combat.naruto,Emotion.naruto,Qual.naruto,Duration.naruto,Rating.naruto,Combat.bnha,Emotion.bnha,Qual.bnha,Duration.bnha,Rating.bnha
7729,32,0,4,1,7,59,25,4,3,6,32,19,2,3,3,44,38,4,2,4,35,37
3546,32,0,4,2,6,31,22,0,1,3,57,15,0,3,6,44,21,2,0,1,45,11
3527,45,1,3,3,1,50,11,3,1,8,33,16,3,0,7,34,20,0,2,7,31,26
10159,34,0,2,0,9,39,27,2,0,8,31,20,4,1,6,35,12,3,3,4,34,25
6959,32,1,3,3,1,50,11,3,1,8,33,16,3,0,7,34,20,0,2,7,31,26
3717,34,1,2,1,4,46,35,2,3,4,56,10,3,1,7,30,39,1,2,9,35,28
617,43,0,4,2,6,55,24,3,1,2,58,11,3,0,4,55,24,0,0,9,59,5
7884,46,0,3,2,4,41,13,4,1,7,54,27,1,0,2,30,20,2,1,8,53,15
4403,45,1,3,3,1,50,11,3,1,8,33,16,3,0,7,34,20,0,2,7,31,26
5828,44,1,4,2,2,51,13,1,2,8,44,16,1,3,6,53,34,2,3,5,33,35
8209,33,1,4,1,7,59,25,4,3,6,32,19,2,3,3,44,38,4,2,4,35,37
10069,38,0,4,1,7,59,25,4,3,6,32,19,2,3,3,44,38,4,2,4,35,37
2652,31,0,3,2,4,41,13,4,1,7,54,27,1,0,2,30,20,2,1,8,53,15
6220,45,1,1,1,6,46,33,4,2,7,39,25,3,0,9,56,13,1,2,2,50,12
8627,34,1,3,3,1,50,11,3,1,8,33,16,3,0,7,34,20,0,2,7,31,26
745,24,1,4,1,7,59,25,4,3,6,32,19,2,3,3,44,38,4,2,4,35,37
3541,32,0,4,1,7,59,25,4,3,6,32,19,2,3,3,44,38,4,2,4,35,37
11754,26,0,4,2,6,31,22,0,1,3,57,15,0,3,6,44,21,2,0,1,45,11
2004,46,1,3,2,4,41,13,4,1,7,54,27,1,0,2,30,20,2,1,8,53,15
7413,27,0,2,1,4,46,35,2,3,4,56,10,3,1,7,30,39,1,2,9,35,28
6572,41,0,4,2,2,51,13,1,2,8,44,16,1,3,6,53,34,2,3,5,33,35
11465,41,1,4,2,6,55,24,3,1,2,58,11,3,0,4,55,24,0,0,9,59,5
3047,42,0,3,3,1,50,11,3,1,8,33,16,3,0,7,34,20,0,2,7,31,26
11266,49,0,4,1,9,58,30,0,1,5,31,14,1,3,7,47,35,0,0,7,54,11
10625,29,1,4,2,6,55,24,3,1,2,58,11,3,0,4,55,24,0,0,9,59,5
1336,31,1,1,1,6,46,33,4,2,7,39,25,3,0,9,56,13,1,2,2,50,12
9747,25,1,3,1,7,39,16,4,2,6,58,31,3,0,8,32,23,2,2,8,54,6
7819,49,1,2,0,9,39,27,2,0,8,31,20,4,1,6,35,12,3,3,4,34,25
5270,44,0,2,1,2,45,29,2,2,4,34,32,1,2,1,46,35,2,1,6,48,23
9595,25,0,2,0,9,39,27,2,0,8,31,20,4,1,6,35,12,3,3,4,34,25
3095,30,0,3,3,1,50,11,3,1,8,33,16,3,0,7,34,20,0,2,7,31,26
4747,32,0,2,0,9,39,27,2,0,8,31,20,4,1,6,35,12,3,3,4,34,25
3285,43,1,2,1,4,46,35,2,3,4,56,10,3,1,7,30,39,1,2,9,35,28
5278,44,0,4,1,9,58,30,0,1,5,31,14,1,3,7,47,35,0,0,7,54,11
7318,27,1,4,1,9,58,30,0,1,5,31,14,1,3,7,47,35,0,0,7,54,11
11755,26,0,2,0,9,39,27,2,0,8,31,20,4,1,6,35,12,3,3,4,34,25
1313,31,1,4,2,6,55,24,3,1,2,58,11,3,0,4,55,24,0,0,9,59,5
4509,26,1,2,1,4,46,35,2,3,4,56,10,3,1,7,30,39,1,2,9,35,28
11988,29,0,3,2,4,41,13,4,1,7,54,27,1,0,2,30,20,2,1,8,53,15
7145,37,1,4,2,6,55,24,3,1,2,58,11,3,0,4,55,24,0,0,9,59,5
2903,41,1,3,3,1,50,11,3,1,8,33,16,3,0,7,34,20,0,2,7,31,26
11844,43,0,3,2,4,41,13,4,1,7,54,27,1,0,2,30,20,2,1,8,53,15
7033,33,0,4,1,7,59,25,4,3,6,32,19,2,3,3,44,38,4,2,4,35,37
3333,38,0,2,1,4,46,35,2,3,4,56,10,3,1,7,30,39,1,2,9,35,28
6325,30,1,4,1,7,59,25,4,3,6,32,19,2,3,3,44,38,4,2,4,35,37
3984,42,1,3,2,4,41,13,4,1,7,54,27,1,0,2,30,20,2,1,8,53,15
4392,45,1,3,2,4,41,13,4,1,7,54,27,1,0,2,30,20,2,1,8,53,15
3053,31,0,4,2,6,55,24,3,1,2,58,11,3,0,4,55,24,0,0,9,59,5
9408,39,1,3,2,4,41,13,4,1,7,54,27,1,0,2,30,20,2,1,8,53,15
976,44,0,1,1,6,46,33,4,2,7,39,25,3,0,9,56,13,1,2,2,50,12
5859,48,1,3,1,7,39,16,4,2,6,58,31,3,0,8,32,23,2,2,8,54,6
4702,42,0,4,1,9,58,30,0,1,5,31,14,1,3,7,47,35,0,0,7,54,11
653,34,1,4,2,6,55,24,3,1,2,58,11,3,0,4,55,24,0,0,9,59,5
9703,44,0,2,0,9,39,27,2,0,8,31,20,4,1,6,35,12,3,3,4,34,25
2269,35,1,4,1,7,59,25,4,3,6,32,19,2,3,3,44,38,4,2,4,35,37
11982,48,0,4,2,6,31,22,0,1,3,57,15,0,3,6,44,21,2,0,1,45,11
7792,47,1,1,1,6,46,33,4,2,7,39,25,3,0,9,56,13,1,2,2,50,12
11993,29,0,4,2,6,55,24,3,1,2,58,11,3,0,4,55,24,0,0,9,59,5
11641,43,1,4,1,7,59,25,4,3,6,32,19,2,3,3,44,38,4,2,4,35,37
6862,32,0,4,1,9,58,30,0,1,5,31,14,1,3,7,47,35,0,0,7,54,11
8443,38,1,2,0,9,39,27,2,0,8,31,20,4,1,6,35,12,3,3,4,34,25
4099,26,1,2,0,9,39,27,2,0,8,31,20,4,1,6,35,12,3,3,4,34,25
9592,25,0,1,1,6,46,33,4,2,7,39,25,3,0,9,56,13,1,2,2,50,12
10802,46,0,2,1,2,45,29,2,2,4,34,32,1,2,1,46,35,2,1,6,48,23
7152,34,1,3,2,4,41,13,4,1,7,54,27,1,0,2,30,20,2,1,8,53,15
611,42,1,3,3,1,50,11,3,1,8,33,16,3,0,7,34,20,0,2,7,31,26
3753,36,0,2,1,4,46,35,2,3,4,56,10,3,1,7,30,39,1,2,9,35,28
2114,42,0,2,1,2,45,29,2,2,4,34,32,1,2,1,46,35,2,1,6,48,23
4684,36,1,1,1,6,46,33,4,2,7,39,25,3,0,9,56,13,1,2,2,50,12
10502,46,1,2,1,2,45,29,2,2,4,34,32,1,2,1,46,35,2,1,6,48,23
5942,40,0,2,1,2,45,29,2,2,4,34,32,1,2,1,46,35,2,1,6,48,23
8399,40,0,3,3,1,50,11,3,1,8,33,16,3,0,7,34,20,0,2,7,31,26
3166,41,0,4,1,9,58,30,0,1,5,31,14,1,3,7,47,35,0,0,7,54,11
2602,36,1,4,1,9,58,30,0,1,5,31,14,1,3,7,47,35,0,0,7,54,11
10220,30,0,4,2,2,51,13,1,2,8,44,16,1,3,6,53,34,2,3,5,33,35
511,46,1,2,0,9,39,27,2,0,8,31,20,4,1,6,35,12,3,3,4,34,25
8587,28,0,2,0,9,39,27,2,0,8,31,20,4,1,6,35,12,3,3,4,34,25
9889,49,1,4,1,7,59,25,4,3,6,32,19,2,3,3,44,38,4,2,4,35,37
3015,46,1,3,1,7,39,16,4,2,6,58,31,3,0,8,32,23,2,2,8,54,6
6742,32,1,4,1,9,58,30,0,1,5,31,14,1,3,7,47,35,0,0,7,54,11
9770,45,0,2,1,2,45,29,2,2,4,34,32,1,2,1,46,35,2,1,6,48,23
4102,26,1,4,1,9,58,30,0,1,5,31,14,1,3,7,47,35,0,0,7,54,11
11764,33,0,1,1,6,46,33,4,2,7,39,25,3,0,9,56,13,1,2,2,50,12
7731,32,0,3,1,7,39,16,4,2,6,58,31,3,0,8,32,23,2,2,8,54,6
520,45,0,1,1,6,46,33,4,2,7,39,25,3,0,9,56,13,1,2,2,50,12
8396,40,0,4,2,2,51,13,1,2,8,44,16,1,3,6,53,34,2,3,5,33,35
5026,28,0,4,1,9,58,30,0,1,5,31,14,1,3,7,47,35,0,0,7,54,11
6940,32,1,1,1,6,46,33,4,2,7,39,25,3,0,9,56,13,1,2,2,50,12
6153,42,1,2,1,4,46,35,2,3,4,56,10,3,1,7,30,39,1,2,9,35,28
7625,35,0,4,2,6,55,24,3,1,2,58,11,3,0,4,55,24,0,0,9,59,5
5221,35,0,4,1,7,59,25,4,3,6,32,19,2,3,3,44,38,4,2,4,35,37
10616,40,0,4,2,2,51,13,1,2,8,44,16,1,3,6,53,34,2,3,5,33,35
7691,26,0,3,3,1,50,11,3,1,8,33,16,3,0,7,34,20,0,2,7,31,26
